SZA;CTO;AOD
67.417;323.0918;0.0193
67.417;323.0625;0.0193
67.417;323.0376;0.0193
67.417;323.0118;0.0193
67.417;322.9742;0.0194
67.417;322.9259;0.0193
67.417;322.8768;0.0193
67.417;322.8398;0.0194
67.417;322.8023;0.0194
67.417;322.7605;0.0194
67.417;322.7136;0.0194
67.417;322.6654;0.0194
67.417;322.6134;0.0194
67.417;322.5605;0.0194
67.417;322.5106;0.0194
67.417;322.4642;0.0194
67.417;322.4179;0.0194
67.417;322.3715;0.0194
67.417;322.3365;0.0193
67.417;322.3083;0.0192
67.417;322.2818;0.0191
67.417;322.2572;0.019
67.417;322.2348;0.0189
67.417;322.2138;0.0188
67.417;322.1944;0.0188
67.417;322.1761;0.0188
67.417;322.1578;0.0188
67.417;322.1297;0.0188
67.417;322.1058;0.0188
67.417;322.0871;0.0188
67.417;322.0693;0.0188
67.417;322.0481;0.0187
67.417;322.0414;0.0187
67.417;322.031;0.0187
67.417;322.0157;0.0188
67.417;321.9982;0.0188
67.417;321.9806;0.0188
67.417;321.9735;0.0188
67.417;321.9709;0.0188
67.417;321.9689;0.0188
67.417;321.9674;0.0188
67.417;321.967;0.0188
67.417;321.9704;0.0189
67.417;321.9815;0.0188
67.417;321.9639;0.0187
67.417;321.9555;0.0187
67.417;321.9482;0.0187
67.417;321.9487;0.0187
67.417;321.9527;0.0186
67.417;321.9588;0.0186
67.417;321.966;0.0187
67.417;321.9771;0.0187
67.417;321.9814;0.0188
67.417;321.9862;0.0188
67.417;321.9886;0.0188
67.417;321.9887;0.0189
67.417;321.9886;0.0189
67.417;321.9893;0.0189
67.417;321.9896;0.0189
67.417;321.9869;0.0189
67.417;321.9811;0.0189
67.417;321.9749;0.0189
67.417;321.9673;0.0189
67.417;321.959;0.0189
67.417;321.9518;0.0189
67.417;321.9407;0.0188
67.417;321.926;0.0188
67.417;321.9058;0.0188
67.417;321.884;0.0187
67.417;321.863;0.0187
67.417;321.847;0.0187
67.417;321.8359;0.0187
67.417;321.823;0.0187
67.417;321.8096;0.0187
67.417;321.7924;0.0187
67.417;321.771;0.0187
67.417;321.7494;0.0187
67.417;321.7247;0.0187
67.417;321.7002;0.0187
67.417;321.6797;0.0187
67.417;321.6643;0.0187
67.417;321.6489;0.0187
67.417;321.6371;0.0187
67.417;321.6227;0.0187
67.417;321.6084;0.0186
67.417;321.5956;0.0186
67.417;321.5839;0.0186
67.417;321.5729;0.0186
67.417;321.5602;0.0186
67.417;321.5476;0.0185
67.417;321.5271;0.0185
67.417;321.5039;0.0185
67.417;321.4845;0.0185
67.417;321.4646;0.0184
67.417;321.4447;0.0184
67.417;321.4259;0.0184
67.417;321.4071;0.0183
67.417;321.3773;0.0183
67.417;321.3475;0.0183
67.417;321.3215;0.0182
67.417;321.3015;0.0182
67.417;321.2844;0.0182
67.417;321.2732;0.0182
67.417;321.2628;0.0181
67.417;321.2488;0.0181
67.417;321.2312;0.0181
67.417;321.2138;0.0181
67.417;321.2102;0.018
67.417;321.2155;0.018
67.417;321.2225;0.018
67.417;321.2269;0.0179
67.417;321.2314;0.0179
67.417;321.2415;0.0179
67.417;321.2458;0.0178
67.417;321.2277;0.0178
67.417;321.2025;0.0178
67.417;321.1777;0.0178
67.417;321.1616;0.0178
67.417;321.1457;0.0177
67.417;321.1266;0.0177
67.417;321.106;0.0177
67.417;321.0853;0.0177
67.417;321.06;0.0177
67.417;321.0344;0.0177
67.417;321.0059;0.0177
67.417;320.9739;0.0177
67.417;320.9419;0.0178
67.417;320.9098;0.0178
67.417;320.8777;0.0177
67.417;320.849;0.0177
67.417;320.8239;0.0177
67.417;320.7989;0.0177
67.417;320.7774;0.0177
67.417;320.7736;0.0176
67.417;320.8921;0.0176
67.417;320.8894;0.0176
67.417;320.8658;0.0176
67.417;320.828;0.0176
67.417;320.7969;0.0175
67.417;320.7724;0.0175
67.417;320.7505;0.0175
67.417;320.7257;0.0175
67.417;320.7055;0.0175
67.417;320.6925;0.0175
67.417;320.6732;0.0175
67.417;320.6434;0.0175
67.417;320.6078;0.0175
67.417;320.589;0.0175
67.417;320.5428;0.0175
67.417;320.5061;0.0174
67.417;320.485;0.0175
67.417;320.4535;0.0174
67.417;320.4082;0.0174
67.417;320.3568;0.0174
67.417;320.3266;0.0174
67.417;320.3309;0.0174
67.417;320.3299;0.0174
67.417;320.3147;0.0174
67.417;320.3084;0.0174
67.417;320.3068;0.0173
67.417;320.306;0.0173
67.417;320.3062;0.0173
67.417;320.3039;0.0173
67.417;320.2975;0.0173
67.417;320.2805;0.0173
67.417;320.2564;0.0173
67.417;320.2397;0.0173
67.417;320.227;0.0173
67.417;320.2117;0.0173
67.417;320.1865;0.0173
67.417;320.154;0.0173
67.417;320.1215;0.0173
67.417;320.0988;0.0173
67.417;320.0754;0.0173
67.417;320.0476;0.0173
67.417;320.0155;0.0173
67.417;319.9838;0.0173
67.417;319.965;0.0173
67.417;319.95;0.0173
67.417;319.9424;0.0173
67.417;319.932;0.0172
67.417;319.9213;0.0172
67.417;319.9245;0.0172
67.417;319.928;0.0172
67.417;319.9305;0.0172
67.417;319.9311;0.0171
67.417;319.9321;0.0171
67.417;319.9407;0.0171
67.417;319.9497;0.0171
67.417;319.9561;0.0171
67.417;319.9605;0.0171
67.417;319.9658;0.0171
67.417;319.9751;0.017
67.417;319.9855;0.017
67.417;320.0007;0.017
67.417;320.0211;0.017
67.417;320.0421;0.017
67.417;320.0601;0.017
67.417;320.0769;0.017
67.417;320.0918;0.0171
67.417;320.1063;0.0171
67.417;320.1227;0.0171
67.417;320.1455;0.0171
67.417;320.1689;0.0172
67.417;320.19;0.0172
67.417;320.2105;0.0172
67.417;320.2321;0.0172
67.417;320.2538;0.0172
67.417;320.2762;0.0172
67.417;320.2975;0.0172
67.417;320.3174;0.0172
67.417;320.3378;0.0172
67.417;320.361;0.0172
67.417;320.3845;0.0172
67.417;320.4085;0.0172
67.417;320.4338;0.0172
67.417;320.4593;0.0172
67.417;320.4864;0.0172
67.417;320.5127;0.0172
67.417;320.5407;0.0172
67.417;320.5709;0.0172
67.417;320.602;0.0172
67.417;320.6297;0.0172
67.417;320.6625;0.0172
67.417;320.7373;0.0174
67.417;320.7798;0.0174
67.417;320.8165;0.0174
67.417;320.8445;0.0174
67.417;320.8726;0.0175
67.417;320.8973;0.0175
67.417;320.9192;0.0175
67.417;320.9413;0.0175
67.417;320.9713;0.0175
67.417;321.0015;0.0175
67.417;321.0298;0.0175
67.417;321.0559;0.0175
67.417;321.082;0.0175
67.417;321.1104;0.0175
67.417;321.139;0.0175
67.417;321.1704;0.0175
67.417;321.2053;0.0175
67.417;321.2405;0.0175
67.417;321.2742;0.0175
67.417;321.309;0.0175
67.417;321.3422;0.0176
67.417;321.3788;0.0176
67.417;321.4167;0.0176
67.417;321.4575;0.0176
67.417;321.4979;0.0177
67.417;321.5398;0.0177
67.417;321.5813;0.0177
67.417;321.6179;0.0178
67.417;321.6465;0.0178
